[cortex] $ uv run --python 3.11 --with torch --with numpy python /Users/ajinkya/github-repos/thepursuits/cortex/lab/recipes/pretrain_nano.py --smoke --steps 60
device=cpu params=104,576 (non-embedding 100,672) loop=1 train_tokens=3,380 flops/token(train)=7.023e+05
STATUS {"phase": "train", "msg": "60 steps, batch 16 x 64 tokens, schedule cosine"}
METRIC {"step": 0, "loss": 4.14012336730957, "lr": 0.00015000000000000001, "grad_norm": 2.474440813064575, "tokens_per_s": 5573.750925612353, "tflops": 0.003914645930090877}
METRIC {"step": 1, "loss": 4.1252241134643555, "lr": 0.00030000000000000003, "grad_norm": 2.9693691730499268, "tokens_per_s": 22084.85090309263, "tflops": 0.015510985843874465}
METRIC {"step": 2, "loss": 4.048159122467041, "lr": 0.00045000000000000004, "grad_norm": 2.460552453994751, "tokens_per_s": 23572.586094815997, "tflops": 0.016555875827488686}
METRIC {"step": 3, "loss": 3.964531421661377, "lr": 0.0006000000000000001, "grad_norm": 1.9061599969863892, "tokens_per_s": 23537.478974727037, "tflops": 0.01653121883319389}
METRIC {"step": 4, "loss": 3.9102091789245605, "lr": 0.00075, "grad_norm": 1.7920513153076172, "tokens_per_s": 17014.748148238396, "tflops": 0.011950070155441162}
METRIC {"step": 5, "loss": 3.832942247390747, "lr": 0.0009000000000000001, "grad_norm": 1.7654987573623657, "tokens_per_s": 28155.556714899663, "tflops": 0.019774661080915773}
METRIC {"step": 6, "loss": 3.779815912246704, "lr": 0.0010500000000000002, "grad_norm": 1.6938427686691284, "tokens_per_s": 23399.563536935937, "tflops": 0.01643435585627744}
METRIC {"step": 7, "loss": 3.688115358352661, "lr": 0.0012000000000000001, "grad_norm": 2.3999416828155518, "tokens_per_s": 27629.191435082383, "tflops": 0.01940497579575002}
METRIC {"step": 8, "loss": 3.6531870365142822, "lr": 0.00135, "grad_norm": 1.7943663597106934, "tokens_per_s": 25484.364681052455, "tflops": 0.017898586752631656}
METRIC {"step": 9, "loss": 3.62019681930542, "lr": 0.0015, "grad_norm": 1.7140223979949951, "tokens_per_s": 28254.316459752765, "tflops": 0.019844023605076918}
METRIC {"step": 10, "loss": 3.5248539447784424, "lr": 0.00165, "grad_norm": 1.9485008716583252, "tokens_per_s": 32315.624669579927, "tflops": 0.02269642656793409}
METRIC {"step": 11, "loss": 3.4876744747161865, "lr": 0.0018000000000000002, "grad_norm": 1.701310396194458, "tokens_per_s": 25203.0773672347, "tflops": 0.017701028545794147}
METRIC {"step": 12, "loss": 3.427001714706421, "lr": 0.00195, "grad_norm": 1.6368077993392944, "tokens_per_s": 25491.581122928863, "tflops": 0.017903655119553368}
METRIC {"step": 13, "loss": 3.330592632293701, "lr": 0.0021000000000000003, "grad_norm": 1.7615314722061157, "tokens_per_s": 30413.094162537138, "tflops": 0.021360210901739684}
METRIC {"step": 14, "loss": 3.310617446899414, "lr": 0.00225, "grad_norm": 1.403195858001709, "tokens_per_s": 27338.86602354778, "tflops": 0.019201069807514452}
METRIC {"step": 15, "loss": 3.234009027481079, "lr": 0.0024000000000000002, "grad_norm": 1.3866121768951416, "tokens_per_s": 37221.19225584301, "tflops": 0.026141783284199756}
METRIC {"step": 16, "loss": 3.169466495513916, "lr": 0.00255, "grad_norm": 1.325838565826416, "tokens_per_s": 34378.327038297386, "tflops": 0.024145136698769634}
METRIC {"step": 17, "loss": 3.1359708309173584, "lr": 0.0027, "grad_norm": 1.1565015316009521, "tokens_per_s": 42265.65716276844, "tflops": 0.02968469258907013}
METRIC {"step": 18, "loss": 3.044779062271118, "lr": 0.00285, "grad_norm": 1.211778998374939, "tokens_per_s": 29126.351389415086, "tflops": 0.020456485129436233}
METRIC {"step": 19, "loss": 3.0037918090820312, "lr": 0.003, "grad_norm": 1.0192866325378418, "tokens_per_s": 28439.967539909743, "tflops": 0.01997441304211005}
METRIC {"step": 20, "loss": 2.8347980976104736, "lr": 0.003, "grad_norm": 1.346840262413025, "tokens_per_s": 36989.82176358599, "tflops": 0.02597928345814993}
METRIC {"step": 21, "loss": 2.905294895172119, "lr": 0.0029958384005397227, "grad_norm": 1.1700515747070312, "tokens_per_s": 25485.1835106241, "tflops": 0.017899161846117687}
METRIC {"step": 22, "loss": 2.7839109897613525, "lr": 0.002983379259803436, "grad_norm": 1.2281153202056885, "tokens_per_s": 43808.11260593896, "tflops": 0.03076801457520474}
METRIC {"step": 23, "loss": 2.6237475872039795, "lr": 0.0029626993925368633, "grad_norm": 2.9700520038604736, "tokens_per_s": 31568.765710833726, "tflops": 0.022171880634284116}
METRIC {"step": 24, "loss": 2.7802517414093018, "lr": 0.0029339262969984574, "grad_norm": 1.1352181434631348, "tokens_per_s": 10529.260694208362, "tflops": 0.007395078838927525, "val_loss": 2.2374477982521057}
